날짜,Negative,Positive,X_t,nsi,Negative_percent,Positive_percent
2021/08/22,689.0,264.0,-0.4459601259181532,84.509,0.7229800629590766,0.2770199370409234
2021/08/23,765.0,309.0,-0.4245810055865922,86.345,0.7122905027932961,0.2877094972067039
2021/08/24,789.0,320.0,-0.4229035166816952,86.532,0.7114517583408476,0.2885482416591524
2021/08/25,805.0,386.0,-0.3518052057094878,92.483,0.6759026028547439,0.3240973971452561
2021/08/26,832.0,451.0,-0.2969602494154326,97.069,0.6484801247077163,0.35151987529228373
2021/08/27,901.0,511.0,-0.2762039660056657,98.807,0.6381019830028328,0.3618980169971671
2021/08/28,879.0,502.0,-0.2729905865314989,99.077,0.6364952932657495,0.36350470673425056
2021/08/29,985.0,600.0,-0.2429022082018927,101.598,0.6214511041009464,0.3785488958990536
2021/08/30,999.0,610.0,-0.2417650714729645,101.691,0.6208825357364823,0.3791174642635177
2021/08/31,926.0,593.0,-0.2192231731402238,103.581,0.6096115865701119,0.39038841342988806
2021/09/01,880.0,548.0,-0.2324929971988795,102.461,0.6162464985994398,0.38375350140056025
2021/09/02,717.0,461.0,-0.2173174872665534,103.734,0.6086587436332768,0.39134125636672323
2021/09/03,649.0,417.0,-0.2176360225140713,103.702,0.6088180112570356,0.39118198874296434
2021/09/04,660.0,421.0,-0.2210915818686401,103.406,0.61054579093432,0.3894542090656799
2021/09/05,565.0,326.0,-0.2682379349046015,99.424,0.6341189674523008,0.3658810325476992
2021/09/06,460.0,282.0,-0.2398921832884097,101.819,0.6199460916442049,0.38005390835579517
2021/09/07,523.0,270.0,-0.3190416141235813,95.124,0.6595208070617906,0.34047919293820933
2021/09/08,572.0,250.0,-0.3917274939172749,88.992,0.6958637469586375,0.30413625304136255
2021/09/09,656.0,299.0,-0.3738219895287958,90.531,0.6869109947643979,0.31308900523560207
2021/09/10,627.0,314.0,-0.332624867162593,94.031,0.6663124335812965,0.3336875664187035
2021/09/11,631.0,331.0,-0.3118503118503118,95.799,0.6559251559251559,0.34407484407484407
2021/09/12,653.0,355.0,-0.2956349206349206,97.179,0.6478174603174603,0.3521825396825397
2021/09/13,682.0,368.0,-0.299047619047619,96.893,0.6495238095238095,0.3504761904761905
2021/09/14,735.0,617.0,-0.0872781065088757,114.852,0.5436390532544378,0.45636094674556216
2021/09/15,706.0,704.0,-0.001418439716312,121.996,0.500709219858156,0.49929078014184397
2021/09/16,676.0,657.0,-0.0142535633908477,120.782,0.5071267816954238,0.49287321830457614
2021/09/17,666.0,630.0,-0.0277777777777777,119.534,0.5138888888888888,0.4861111111111111
2021/09/18,679.0,635.0,-0.0334855403348554,118.954,0.5167427701674278,0.4832572298325723
2021/09/19,649.0,607.0,-0.0334394904458598,118.859,0.51671974522293,0.48328025477707004
2021/09/20,620.0,623.0,0.0024135156878519,121.709,0.498793242156074,0.501206757843926
2021/09/21,456.0,358.0,-0.1203931203931203,111.471,0.5601965601965602,0.4398034398034398
2021/09/22,366.0,235.0,-0.2179700499168053,103.36,0.6089850249584027,0.3910149750415973
2021/09/23,327.0,243.0,-0.1473684210526315,109.213,0.5736842105263158,0.4263157894736842
2021/09/24,359.0,252.0,-0.1751227495908347,106.892,0.5875613747954174,0.41243862520458263
2021/09/26,331.0,225.0,-0.1906474820143885,105.592,0.5953237410071942,0.40467625899280574
2021/09/27,340.0,225.0,-0.2035398230088495,104.512,0.6017699115044248,0.39823008849557523
2021/09/28,321.0,171.0,-0.3048780487804878,96.069,0.6524390243902439,0.3475609756097561
2021/09/29,390.0,181.0,-0.3660245183887916,90.984,0.6830122591943958,0.3169877408056042
2021/09/30,396.0,170.0,-0.3992932862190813,88.239,0.6996466431095406,0.3003533568904594
2021/10/01,343.0,130.0,-0.4503171247357294,84.045,0.7251585623678647,0.2748414376321353
2021/10/02,326.0,134.0,-0.417391304347826,86.828,0.7086956521739131,0.29130434782608694
2021/10/03,342.0,130.0,-0.4491525423728814,84.246,0.7245762711864406,0.2754237288135593
2021/10/04,345.0,129.0,-0.4556962025316455,83.768,0.7278481012658228,0.2721518987341772
2021/10/05,380.0,142.0,-0.4559386973180077,83.813,0.7279693486590039,0.2720306513409962
2021/10/06,401.0,199.0,-0.3366666666666666,93.696,0.6683333333333333,0.33166666666666667
2021/10/07,418.0,245.0,-0.2609351432880845,99.969,0.6304675716440422,0.3695324283559578
2021/10/08,425.0,245.0,-0.2686567164179104,99.329,0.6343283582089553,0.3656716417910448
2021/10/09,396.0,225.0,-0.2753623188405797,98.774,0.6376811594202898,0.36231884057971014
2021/10/10,379.0,232.0,-0.2405891980360065,101.662,0.6202945990180033,0.37970540098199673
2021/10/11,392.0,226.0,-0.2686084142394822,99.332,0.6343042071197411,0.3656957928802589
2021/10/12,335.0,221.0,-0.2050359712230215,104.62,0.6025179856115108,0.39748201438848924
2021/10/13,357.0,181.0,-0.3271375464684015,94.45,0.6635687732342007,0.33643122676579923
2021/10/14,348.0,157.0,-0.3782178217821782,90.21,0.689108910891089,0.3108910891089109
2021/10/15,368.0,144.0,-0.4375,85.315,0.71875,0.28125
2021/10/16,381.0,135.0,-0.4767441860465116,82.127,0.7383720930232558,0.2616279069767442
2021/10/17,396.0,133.0,-0.497164461247637,80.531,0.7485822306238186,0.2514177693761815
2021/10/18,383.0,164.0,-0.4003656307129798,88.58,0.70018281535649,0.29981718464351004
2021/10/19,410.0,167.0,-0.4211438474870017,86.897,0.7105719237435009,0.28942807625649913
2021/10/20,402.0,178.0,-0.3862068965517241,89.812,0.6931034482758621,0.30689655172413793
2021/10/21,448.0,198.0,-0.3869969040247678,89.769,0.6934984520123839,0.3065015479876161
2021/10/22,439.0,198.0,-0.3783359497645212,90.505,0.6891679748822606,0.3108320251177394
2021/10/23,427.0,207.0,-0.3470031545741325,93.109,0.6735015772870663,0.3264984227129338
2021/10/24,406.0,207.0,-0.3246329526916802,94.968,0.6623164763458401,0.3376835236541599
2021/10/25,416.0,218.0,-0.3123028391167192,95.995,0.6561514195583596,0.3438485804416404
2021/10/26,431.0,234.0,-0.2962406015037594,97.331,0.6481203007518797,0.3518796992481203
2021/10/27,373.0,209.0,-0.281786941580756,98.533,0.6408934707903781,0.359106529209622
2021/10/28,277.0,166.0,-0.2505643340857788,101.127,0.6252821670428894,0.3747178329571106
2021/10/29,308.0,174.0,-0.2780082987551867,98.845,0.6390041493775933,0.36099585062240663
